employee_id,overtime_hrs,manager_changes,engagement,left_company
1,478.56,212.82,62,1
2,368.73,291.43,77,1
3,411.32,339.82,50,1
4,80.34,311.44,24,0
5,380.75,286.84,94,1
6,21.7,27.74,27,0
7,286.06,109.17,43,0
8,18.17,49.7,93,0
9,284.36,333.75,90,1
10,488.88,210.96,65,1
11,76.25,144.96,37,0
12,441.66,144.14,22,1
13,106.9,180.51,63,0
14,338.86,192.22,56,1
15,309.63,301.54,92,1
16,187.08,216.34,25,0
17,72.32,114.84,46,0
18,98.09,106.98,54,0
19,126.77,331.02,79,0
20,481.04,437.27,52,1
21,269.82,207.32,49,0
22,52.3,99.98,43,0
23,329.86,264.48,67,1
24,23.01,88.37,35,0
25,499.21,250.01,65,1
26,366.2,385.87,59,1
27,349.46,90.07,75,0
28,224.3,383.9,42,1
29,486.52,59.32,83,1
30,423.62,112.31,59,1
31,75.14,288.02,65,0
32,122.04,322.28,41,0
33,312.45,179.54,34,0
34,309.79,457.79,84,1
35,33.52,139.14,81,0
36,447.95,284.45,87,1
37,471.62,421.08,23,1
38,271.25,190.44,25,0
39,307.57,447.75,36,1
40,299.27,362.49,75,1
41,177.54,494.54,23,1
42,298.98,156.54,86,0
43,108.52,238.7,78,0
44,158.33,266.66,68,0
45,252.34,450.03,84,1
46,79.99,43.09,30,0
47,387.21,377.2,54,1
48,48.92,33.77,34,0
49,265.54,45.8,28,0
50,69.86,87.5,80,0
51,251.29,361.94,92,1
52,83.56,172.83,82,0
53,441.32,300.91,69,1
54,53.0,241.58,88,0
55,54.47,423.06,88,0
56,389.02,312.64,86,1
57,405.06,146.34,55,1
58,210.06,245.57,55,0
59,187.57,274.36,77,0
60,469.43,277.53,35,1
61,281.24,231.7,64,0
62,144.24,295.64,45,0
63,231.71,347.16,37,1
64,291.65,34.51,54,0
65,142.78,421.05,51,1
66,298.16,259.87,35,1
67,480.6,382.05,37,1
68,185.96,261.55,40,0
69,241.07,124.25,78,0
70,73.64,179.13,40,0
71,424.07,101.9,26,0
72,479.27,490.61,71,1
73,312.41,458.8,83,1
74,30.64,235.93,83,0
75,122.28,256.66,20,0
76,273.58,388.12,60,1
77,346.15,427.22,54,1
78,149.32,226.28,68,0
79,241.31,279.28,80,1
80,234.77,119.23,92,0
81,150.66,451.68,68,1
82,169.16,497.19,25,1
83,481.09,95.27,24,1
84,14.46,104.43,74,0
85,470.67,467.2,62,1
86,156.31,111.87,91,0
87,232.7,188.61,71,0
88,328.06,491.48,53,1
89,220.18,174.92,65,0
90,338.05,467.87,63,1
91,353.07,82.95,77,0
92,333.96,334.79,80,1
93,255.75,274.31,52,0
94,34.62,58.85,29,0
95,174.78,250.79,76,0
96,499.47,485.02,74,1
97,430.78,141.32,62,1
98,152.28,386.55,41,0
99,126.09,263.53,41,0
100,268.67,191.15,91,0
101,251.32,188.63,77,0
102,390.3,124.26,68,0
103,231.13,239.27,53,0
104,40.84,430.28,24,0
105,227.17,424.19,44,1
106,85.79,80.42,63,0
107,38.29,493.26,41,0
108,39.01,191.1,29,0
109,159.65,112.72,50,0
110,227.02,380.57,76,1
111,483.74,81.84,64,1
112,244.51,352.13,88,1
113,467.3,374.11,27,1
114,399.48,307.37,62,1
115,22.33,58.73,93,0
116,19.65,331.98,41,0
117,221.96,327.71,78,1
118,260.61,173.52,89,0
119,333.94,195.67,81,1
120,425.55,253.14,37,1
121,292.39,15.94,84,0
122,113.02,47.12,53,0
123,481.61,395.75,63,1
124,227.89,309.55,52,1
125,205.96,21.46,73,0
126,416.12,119.11,48,0
127,466.01,181.91,63,1
128,498.03,377.24,90,1
129,69.73,333.92,45,0
130,490.37,158.08,57,1
131,187.69,110.94,82,0
132,450.53,82.49,88,1
133,453.34,59.75,81,1
134,98.98,43.64,81,0
135,163.94,287.79,33,0
136,141.17,409.19,75,1
137,486.69,496.17,55,1
138,327.21,233.35,72,1
139,185.29,98.5,56,0
140,485.56,358.87,90,1
141,265.98,478.45,31,1
142,202.44,63.87,82,0
143,62.35,246.78,86,0
144,279.39,348.13,59,1
145,110.13,260.64,89,0
146,65.68,121.1,30,0
147,44.54,200.07,30,0
148,138.32,226.95,48,0
149,428.64,330.88,49,1
150,175.92,78.29,40,0
151,479.86,360.85,81,1
152,43.05,465.69,22,0
153,262.4,102.43,83,0
154,19.58,287.48,82,0
155,361.73,323.57,85,1
156,445.44,249.68,53,1
157,318.54,93.73,85,0
158,219.41,35.42,21,0
159,322.47,68.29,67,0
160,481.71,275.58,63,1
161,328.07,15.91,84,0
162,27.97,378.43,94,0
163,260.57,469.73,56,1
164,468.5,391.41,55,1
165,220.11,437.2,80,1
166,104.86,426.22,87,1
167,245.04,149.78,71,0
168,257.09,226.96,92,0
169,203.96,468.8,69,1
170,470.16,101.27,84,1
171,469.49,253.91,31,1
172,201.57,62.52,93,0
173,440.7,313.89,82,1
174,393.15,198.95,20,1
175,161.15,241.0,56,0
176,277.87,199.33,69,0
177,106.07,68.2,48,0
178,406.26,239.13,47,1
179,129.25,324.13,76,0
180,436.26,107.88,61,1
181,252.8,415.57,82,1
182,201.14,292.63,49,0
183,333.65,417.94,51,1
184,265.56,269.03,57,1
185,193.17,160.35,42,0
186,171.64,345.43,45,0
187,331.92,469.53,37,1
188,324.74,265.14,33,1
189,386.67,278.57,79,1
190,240.47,252.62,52,0
191,240.52,228.46,68,0
192,458.64,279.63,27,1
193,212.18,487.02,63,1
194,45.81,62.13,39,0
195,439.02,324.93,60,1
196,46.78,413.19,79,0
197,191.14,87.64,84,0
198,330.01,26.59,55,0
199,425.33,370.58,26,1
200,426.35,209.77,35,1
201,183.3,437.12,44,1
202,125.13,194.88,86,0
203,293.16,97.11,81,0
204,145.82,257.08,62,0
205,220.82,449.69,81,1
206,481.68,208.34,30,1
207,110.62,133.5,62,0
208,394.23,70.06,34,0
209,66.28,146.51,43,0
210,123.66,140.11,62,0
211,243.11,187.47,62,0
212,110.48,414.37,65,1
213,228.23,135.97,38,0
214,338.26,450.71,86,1
215,264.96,483.1,43,1
216,134.04,209.15,88,0
217,65.76,428.44,26,0
218,138.22,295.92,59,0
219,329.12,288.04,20,1
220,428.43,406.9,55,1
221,190.21,94.91,56,0
222,81.46,398.63,38,0
223,162.26,421.72,47,1
224,341.08,112.14,76,0
225,313.91,212.89,86,1
226,133.35,107.53,31,0
227,170.14,312.51,42,0
228,293.99,331.79,21,1
229,334.51,88.69,89,0
230,233.13,326.32,57,1
231,298.11,366.61,82,1
232,50.37,387.94,82,0
233,432.38,162.07,53,1
234,251.96,336.54,83,1
235,126.53,275.12,25,0
236,58.98,69.46,49,0
237,178.18,259.85,68,0
238,246.17,225.59,40,0
239,443.3,185.24,27,1
240,326.18,467.57,73,1
241,338.36,239.08,86,1
242,473.27,224.24,72,1
243,395.6,68.22,84,0
244,286.18,295.66,23,1
245,96.48,150.17,44,0
246,469.77,277.72,67,1
247,469.44,272.55,48,1
248,153.59,76.83,64,0
249,187.62,264.91,88,0
250,301.49,340.05,28,1
251,125.33,139.42,91,0
252,119.37,73.5,40,0
253,161.57,152.25,57,0
254,459.49,171.47,44,1
255,32.57,333.97,30,0
256,142.74,310.21,30,0
257,330.64,156.56,60,0
258,173.26,254.75,27,0
259,320.34,451.67,46,1
260,132.6,434.99,33,1
261,117.48,381.93,47,0
262,233.7,440.01,77,1
263,351.82,217.24,39,1
264,133.93,330.56,47,0
265,395.97,158.48,22,0
266,364.44,116.9,24,0
267,317.38,441.06,89,1
268,394.46,275.63,82,1
269,109.31,388.55,73,0
270,196.84,302.85,20,0
271,268.17,323.24,73,1
272,215.13,491.1,56,1
273,378.32,261.02,55,1
274,289.38,46.19,46,0
275,361.21,316.85,93,1
276,479.79,487.24,78,1
277,70.1,48.26,39,0
278,42.4,497.3,68,1
279,359.2,434.09,59,1
280,219.78,16.21,39,0
281,269.79,267.12,49,0
282,495.61,317.52,93,1
283,407.05,115.04,82,1
284,59.33,119.31,51,0
285,350.78,60.57,93,0
286,179.03,429.79,57,1
287,492.07,289.2,28,1
288,238.12,381.73,57,1
289,431.95,477.77,47,1
290,177.29,463.78,55,1
291,240.81,230.12,22,0
292,460.05,187.86,29,1
293,246.63,288.51,78,1
294,216.41,184.89,22,0
295,64.04,187.36,61,0
296,350.82,365.9,86,1
297,80.8,175.53,61,0
298,469.12,374.43,91,1
299,155.98,31.57,57,0
300,245.29,88.09,33,0
301,171.82,41.18,45,0
302,86.07,343.12,85,0
303,168.64,175.54,64,0
304,468.09,420.41,69,1
305,393.07,375.98,46,1
306,356.8,118.57,61,0
307,358.7,375.43,78,1
308,69.04,94.08,71,0
309,100.9,312.02,45,0
310,380.6,451.43,25,1
311,407.82,54.68,71,0
312,440.17,51.18,82,0
313,22.18,37.47,36,0
314,158.49,158.14,91,0
315,151.75,429.27,31,1
316,75.13,147.84,87,0
317,13.39,215.88,33,0
318,443.61,406.69,26,1
319,122.21,265.89,93,0
320,488.56,206.03,82,1
321,315.86,424.09,53,1
322,409.41,355.67,38,1
323,408.03,175.27,61,1
324,69.85,339.49,84,0
325,410.15,62.57,58,0
326,443.56,390.89,33,1
327,82.75,323.6,82,0
328,139.79,199.79,67,0
329,353.94,380.04,82,1
330,207.58,13.95,50,0
331,401.46,295.66,35,1
332,317.03,164.89,70,0
333,439.43,443.32,45,1
334,472.21,230.82,32,1
335,232.23,357.66,31,1
336,37.81,495.67,76,1
337,368.59,83.36,32,0
338,176.57,466.26,50,1
339,329.39,72.09,61,0
340,51.51,105.35,37,0
341,349.36,448.75,58,1
342,260.94,112.9,39,0
343,364.03,168.94,91,1
344,423.76,212.65,63,1
345,422.82,322.37,22,1
346,164.41,354.92,49,0
347,195.04,96.23,90,0
348,236.47,122.25,94,0
349,490.22,454.61,90,1
350,458.5,453.38,61,1
351,227.19,154.66,90,0
352,459.57,405.48,94,1
353,268.33,99.63,24,0
354,298.25,465.41,20,1
355,399.44,200.89,24,1
356,419.93,188.99,30,1
357,188.47,327.35,35,0
358,428.69,292.6,25,1
359,115.99,403.22,82,1
360,412.5,364.27,21,1
361,111.1,254.15,31,0
362,340.44,251.39,66,1
363,122.56,390.78,74,1
364,209.82,158.93,48,0
365,318.66,61.89,70,0
366,283.04,44.52,48,0
367,316.16,106.43,61,0
368,330.51,424.67,43,1
369,472.6,291.66,33,1
370,476.84,168.44,54,1
371,91.35,335.75,74,0
372,490.85,51.75,85,1
373,83.96,408.78,53,0
374,266.32,57.48,53,0
375,272.86,395.3,46,1
376,156.06,86.44,92,0
377,409.82,331.75,72,1
378,245.62,297.63,25,0
379,104.9,243.58,75,0
380,39.6,95.76,47,0
381,455.02,38.02,28,0
382,365.45,482.48,35,1
383,13.78,423.15,87,0
384,167.68,270.14,94,0
385,104.29,115.77,38,0
386,443.47,66.63,44,0
387,66.32,357.81,77,0
388,271.08,14.37,55,0
389,282.38,447.44,92,1
390,221.24,124.03,26,0
391,88.48,109.79,25,0
392,298.26,85.27,75,0
393,388.38,120.33,75,0
394,88.69,483.39,38,1
395,58.31,341.53,31,0
396,276.33,390.53,49,1
397,301.58,314.8,22,1
398,259.21,96.85,44,0
399,459.24,27.68,37,0
400,416.42,410.53,43,1
401,325.73,431.78,90,1
402,309.98,461.03,67,1
403,68.56,430.93,64,0
404,390.98,28.78,20,0
405,161.01,171.14,69,0
406,414.38,448.22,64,1
407,171.6,222.25,22,0
408,42.58,165.16,46,0
409,454.38,232.23,92,1
410,406.35,131.78,45,0
411,168.0,473.84,82,1
412,248.75,149.37,65,0
413,71.2,103.12,79,0
414,264.81,175.92,56,0
415,418.29,318.44,45,1
416,417.82,82.73,86,0
417,23.61,61.46,23,0
418,244.9,27.07,20,0
419,336.26,314.75,47,1
420,153.64,483.6,85,1
421,83.78,246.5,75,0
422,246.02,112.52,90,0
423,266.41,261.76,20,0
424,231.04,99.37,37,0
425,332.65,416.94,31,1
426,455.37,241.45,86,1
427,146.23,443.1,56,1
428,441.0,168.44,90,1
429,147.03,408.27,92,1
430,495.52,335.17,41,1
431,228.42,402.53,42,1
432,346.13,267.91,49,1
433,385.25,396.85,45,1
434,437.91,242.66,64,1
435,274.02,450.78,75,1
436,479.53,341.75,55,1
437,37.45,427.9,93,0
438,97.13,374.35,47,0
439,487.48,222.94,60,1
440,188.02,102.7,50,0
441,348.87,176.98,29,0
442,174.09,379.77,60,1
443,420.92,340.0,63,1
444,177.81,342.58,34,0
445,57.68,106.84,55,0
446,321.16,34.71,79,0
