Region,Product_Category,Month,Marketing_Spend,Price,Quantity_Sold,Revenue,Cost,Profit,Customer_Satisfaction
East,Technology,11,40086.1,300.44,49,14721.6,9389.06,-34753.56,5.67
East,Furniture,5,48645.94,417.06,43,17933.54,9953.5,-40665.9,6.38
West,Furniture,6,5317.98,16.42,50,820.8,421.89,-4919.08,7.33
West,Office Supplies,4,31658.66,27.99,52,1455.63,756.22,-30959.25,5.85
West,Technology,12,30347.97,195.78,44,8614.37,5883.61,-27617.21,6.45
North,Furniture,8,38991.26,215.45,43,9264.44,4719.25,-34446.07,7.56
South,Furniture,12,47277.45,447.94,52,23292.86,12264.8,-36249.4,5.49
South,Office Supplies,5,31403.8,482.8,52,25105.67,14784.28,-21082.41,4.63
North,Technology,9,49409.91,387.26,43,16652.23,12399.89,-45157.57,8.55
North,Office Supplies,5,46683.54,327.28,49,16036.87,9802.47,-40449.13,8.4
South,Technology,3,31608.4,140.99,51,7190.35,5691.26,-30109.31,7.7
East,Office Supplies,7,6819.51,356.78,40,14271.13,7999.19,-547.58,8.1
West,Office Supplies,1,19146.02,256.74,61,15661.29,9758.78,-13243.51,5.82
West,Office Supplies,11,36265.32,440.83,53,23364.07,12421.47,-25322.72,8.12
West,Furniture,11,19595.53,65.43,47,3075.38,1788.76,-18308.91,4.98
South,Office Supplies,9,26817.35,347.76,45,15649.01,8614.58,-19782.92,5.47
West,Technology,4,21363.33,486.03,69,33536.22,21770.86,-9597.97,5.39
North,Office Supplies,1,48947.67,208.46,53,11048.56,7284.1,-45183.21,5.51
South,Furniture,7,35246.1,382.0,44,16808.08,10258.56,-28696.58,9.11
East,Office Supplies,1,11782.29,256.56,54,13854.15,8281.84,-6209.98,9.09
West,Office Supplies,10,28044.19,117.12,53,6207.12,4390.18,-26227.25,7.93
North,Office Supplies,12,38084.73,108.49,51,5533.01,3145.88,-35697.59,6.76
West,Furniture,9,28248.62,134.11,51,6839.63,3807.02,-25216.01,8.45
West,Office Supplies,4,44918.89,391.04,53,20725.03,11367.45,-35561.3,5.4
South,Furniture,3,21752.72,470.37,46,21636.84,13729.16,-13845.05,6.99
West,Office Supplies,3,34592.58,286.31,39,11166.2,6471.49,-29897.87,6.43
South,Furniture,6,49050.18,245.94,61,15002.18,9076.67,-43124.67,9.05
North,Technology,12,37510.35,143.98,47,6767.17,5268.21,-36011.39,8.76
North,Furniture,5,30753.16,490.26,37,18139.77,10108.81,-22722.2,6.83
South,Technology,10,47126.96,349.53,51,17826.27,12202.12,-41502.81,4.38
South,Office Supplies,2,16437.36,151.17,46,6953.77,3761.89,-13245.49,7.67
South,Office Supplies,10,41455.1,434.2,62,26920.45,17510.54,-32045.19,9.67
North,Technology,8,36588.51,398.92,60,23935.04,14664.4,-27317.87,7.25
South,Office Supplies,9,11976.87,491.01,44,21604.49,12767.82,-3140.19,5.72
East,Technology,1,42254.11,139.41,58,8086.0,5040.86,-39208.97,5.85
West,Technology,2,28233.52,164.86,57,9397.22,5936.14,-24772.44,7.63
East,Furniture,5,13295.02,45.03,48,2161.54,1118.51,-12251.98,6.83
West,Furniture,6,37156.82,331.8,55,18248.87,12473.4,-31381.34,8.25
East,Office Supplies,12,30471.67,83.53,40,3341.2,1762.62,-28893.09,6.58
South,Technology,12,5772.25,382.87,57,21823.33,13953.88,2097.2,6.09
North,Office Supplies,10,32713.25,319.37,33,10539.25,7248.46,-29422.46,8.74
North,Technology,4,32713.3,472.23,53,25028.0,17598.45,-25283.75,7.02
East,Technology,1,41504.19,411.22,53,21794.48,15156.87,-34866.58,6.0
West,Office Supplies,2,6753.34,311.04,46,14307.64,8808.06,-1253.76,5.7
South,Furniture,2,16731.25,250.54,54,13529.08,10566.14,-13768.31,6.86
North,Technology,4,12984.78,376.55,48,18074.61,13247.31,-8157.48,6.24
West,Office Supplies,5,15736.86,341.52,55,18783.77,11520.44,-8473.52,6.51
North,Furniture,11,9499.32,31.48,47,1479.34,1040.02,-9060.0,10.0
West,Office Supplies,10,33432.67,226.98,45,10214.12,7167.82,-30386.37,8.16
North,Office Supplies,5,27248.91,33.49,51,1708.07,1308.91,-26849.76,8.0
East,Office Supplies,2,48589.34,345.57,58,20043.34,11360.02,-39906.02,8.33
South,Technology,5,15495.26,292.75,52,15222.8,10845.55,-11118.01,6.65
East,Technology,12,30128.19,214.99,61,13114.38,8495.33,-25509.14,6.97
South,Technology,9,38489.52,342.11,44,15053.04,9683.84,-33120.32,6.57
North,Technology,6,24635.11,402.04,46,18494.03,14377.13,-20518.21,6.75
East,Technology,2,12479.69,112.32,54,6065.31,4373.88,-10788.26,7.43
East,Furniture,8,22753.48,57.84,46,2660.84,1846.76,-21939.41,4.97
West,Technology,9,16697.74,229.35,48,11009.0,6399.39,-12088.13,6.16
North,Furniture,3,42014.18,475.15,55,26133.3,16345.67,-32226.55,8.77
West,Office Supplies,1,21953.25,376.04,48,18049.98,12106.56,-16009.84,6.3
North,Furniture,9,23666.88,140.34,58,8139.52,5169.92,-20697.28,4.95
North,Furniture,12,17090.26,15.98,50,799.07,598.83,-16890.02,7.8
South,Technology,6,48558.82,48.76,57,2779.44,1790.0,-47569.38,9.1
South,Furniture,11,14583.39,72.5,52,3770.2,2379.91,-13193.1,6.42
East,Furniture,4,29635.08,228.2,61,13920.24,9146.72,-24861.56,8.45
South,Technology,10,39601.3,37.79,47,1775.98,1196.82,-39022.14,7.97
East,Office Supplies,9,25705.36,294.46,48,14134.04,7830.54,-19401.86,5.87
West,Office Supplies,11,35040.1,90.3,43,3882.83,2138.2,-33295.47,9.51
West,Furniture,6,8991.61,64.71,49,3171.02,1932.04,-7752.63,9.95
North,Furniture,9,26651.54,345.45,50,17272.67,10591.36,-19970.23,7.05
North,Furniture,4,41279.06,375.39,43,16141.71,9864.87,-35002.22,10.0
East,Furniture,8,37423.22,35.86,41,1470.22,1038.19,-36991.2,6.53
East,Furniture,11,28945.11,58.05,49,2844.46,1629.14,-27729.79,5.87
